iteration,system,target_emotion,control_params,judged_V,judged_A,judged_D,judge_family,judge_confidence,distance_to_target,accepted
77,chatterbox-fair,sadness,ref=sadness;ex=0.5;cfg=0.5,-0.059,0.36,0.025,neutral,1.0,0.243,0
78,chatterbox-fair,sadness,ref=sadness;ex=0.7;cfg=0.5,-0.099,0.5,0.222,neutral,1.0,0.361,0
79,chatterbox-fair,joy,ref=joy;ex=0.4;cfg=0.5,-0.038,0.486,0.226,neutral,1.0,0.353,0
80,chatterbox-fair,joy,ref=joy;ex=0.5;cfg=0.5,0.015,0.532,0.299,neutral,1.0,0.309,0
81,chatterbox-fair,joy,ref=joy;ex=0.6;cfg=0.5,-0.164,0.597,0.369,fear,0.6,0.497,0
82,chatterbox-fair,anger,ref=anger;ex=0.4;cfg=0.5,-0.165,0.646,0.405,anger,0.6,0.261,1
83,chatterbox-fair,anger,ref=anger;ex=0.6;cfg=0.5,-0.031,0.693,0.477,neutral,0.8,0.395,0
84,chatterbox-fair,anger,ref=anger;ex=0.8;cfg=0.5,-0.379,0.775,0.604,fear,0.65,0.212,0
85,elevenlabs-fair,sadness,v3;tags=[crying][sighs];stab=0.0;voice=charlie,0.118,0.49,0.232,joy,0.8,0.509,0
86,elevenlabs-fair,joy,v3;tags=[excited][laughs];stab=0.0;voice=charlie,0.379,0.469,0.236,joy,0.8,0.144,1
87,elevenlabs-fair,anger,v3;tags=[angry][shouting];stab=0.0;voice=charlie,-0.18,0.638,0.483,neutral,1.0,0.259,0
88,hume-octave-fair,sadness,"octave;desc=openly crying while speaking, sobbing between words",-0.127,0.576,0.245,joy,0.4,0.396,0
89,hume-octave-fair,joy,"octave;desc=overflowing warm happiness, melodious laughter in every word",-0.053,0.555,0.36,anger,0.6,0.393,0
90,hume-octave-fair,anger,"octave;desc=explosive rage, yelling at the top of the lungs",-0.336,0.728,0.562,neutral,0.6,0.176,0
91,openai-tts-fair,sadness,"4o-mini-tts;voice=coral;instr=You are a method actor: openly crying while speaking, voice ",-0.15,0.478,0.236,neutral,0.6,0.344,0
92,openai-tts-fair,joy,4o-mini-tts;voice=coral;instr=You are a method actor overflowing with warm happiness: melo,-0.176,0.532,0.337,neutral,1.0,0.5,0
93,openai-tts-fair,anger,"4o-mini-tts;voice=coral;instr=You are a method actor playing explosive rage: yell, snarl, ",-0.153,0.489,0.334,neutral,0.8,0.349,0
94,chatterbox-fair,sadness,ref=sadness;ex=0.9;cfg=0.5,-0.092,0.477,0.315,neutral,1.0,0.438,0
95,chatterbox-fair,joy,ref=joy;ex=0.5;cfg=0.3,-0.022,0.549,0.31,neutral,0.61,0.345,0
96,chatterbox-fair,anger,ref=anger;ex=0.5;cfg=0.7,-0.252,0.691,0.44,anger,0.6,0.171,1
97,hume-octave-fair,joy,"octave;desc=ecstatic celebration, whooping with delight",-0.425,0.864,0.744,surprise,0.8,0.956,0
98,openai-tts-fair,joy,"4o-mini-tts;voice=coral;instr=Speak ecstatically: celebrating, whooping with delight, maxi",-0.153,0.612,0.493,neutral,0.8,0.545,0
99,chatterbox-fair,joy,ref=joy;ex=0.7;cfg=0.5,0.04,0.624,0.411,surprise,0.4,0.344,0
100,chatterbox-fair,anger,ref=anger;ex=1.0;cfg=0.5,-0.343,0.881,0.727,fear,1.0,0.373,0
101,indextts2-fair-gen,anger,"emo_vector=[0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];sent=s2",-0.141,0.811,0.636,neutral,0.4,0.375,0
